name,whi,bla,his,asi,oth
ABBASSI,0.6987951807228916,0.024096385542168676,0.09036144578313253,0.018072289156626505,0.1686746987951807
ABBATA,1,0,0,0,0
ABBATANTUONO,0.8157894736842105,0,0,0,0.18421052631578946
ABBATE,0.9127640036730946,0.005968778696051423,0.06611570247933884,0.004591368227731864,0.010560146923783287
ABBATECOLA,0.8727272727272727,0,0,0,0.12727272727272726
ABBATELLO,1,0,0,0,0
ABBATEMATTEO,1,0,0,0,0
ABBATI,1,0,0,0,0
ABBATICCHIO,1,0,0,0,0
ABBATIELLO,0.8722891566265061,0,0.07710843373493977,0,0.05060240963855422
ABBATINOZZI,0.851063829787234,0.14893617021276595,0,0,0
ABBATOY,1,0,0,0,0
ABBATTISTA,0.8152173913043478,0,0.18478260869565216,0,0
ABBAY,0.21875,0.375,0,0,0.40625
ABBAZIA,0.9020979020979021,0,0,0,0.0979020979020979
ABBAZIO,1,0,0,0,0
ABBE,0.9980353634577603,0,0,0,0.0019646365422396855
ABBEN,1,0,0,0,0
ABBENANTE,0.9629629629629629,0,0,0,0.037037037037037035
ABBENE,0.9675324675324676,0,0.032467532467532464,0,0
ABBENSETTS,0,0.7058823529411765,0,0,0.29411764705882354
ABBER,0.7586206896551724,0,0.2413793103448276,0,0
ABBERGER,0.9416666666666667,0,0.058333333333333334,0,0
ABBERTON,1,0,0,0,0
ABBESS,0.9117647058823529,0,0,0,0.08823529411764706
ABBETT,0.9692898272552783,0.003838771593090211,0,0.026871401151631478,0
ABBEY,0.8835307388606881,0.09531866892272983,0.0045121263395375075,0.0022560631697687537,0.014382402707275803
ABBGY,0.99,0,0,0,0.01
ABBHI,0,0,0,0.7352941176470589,0.2647058823529412
ABBI,0,0.3939393939393939,0,0.18181818181818182,0.42424242424242425
ABBIATI,0.65,0.08333333333333333,0.26666666666666666,0,0
ABBINANTE,1,0,0,0,0
ABBINANTI,0.8064516129032258,0,0.1935483870967742,0,0
ABBINGTON,0.04065040650406504,0.943089430894309,0,0,0.016260162601626018
ABBINK,0.9146341463414634,0.06097560975609756,0,0,0.024390243902439025
ABBITT,0.7093425605536332,0.2768166089965398,0,0,0.01384083044982699
ABBIYESUKU,0,1,0,0,0
ABBLETT,0.8444444444444444,0,0.15555555555555556,0,0
ABBLITT,1,0,0,0,0
ABBO,0.49238578680203043,0.17766497461928935,0.26903553299492383,0,0.06091370558375635
ABBODA,1,0,0,0,0
ABBONDANDELO,1,0,0,0,0
