name,whi,bla,his,asi,oth
JOHNMARK,0.832391713747646,0.07156308851224105,0.030131826741996232,0.05273069679849341,0.013182674199623353
JOHNMARTIN,0.8421052631578947,0,0.15789473684210525,0,0
JOHNMATTHEW,0.85,0,0,0.15,0
JOHNMICHAEL,0.7929292929292929,0.051066217732884396,0.05948372615039282,0.06846240179573512,0.028058361391694726
JOHNMICHEAL,0.72,0.28,0,0,0
JOHNN,0.38461538461538464,0.17751479289940827,0.4378698224852071,0,0
JOHNNA,0.8580884299708763,0.12059835848557056,0.006354249404289118,0.0019857029388403494,0.012973259200423616
JOHNNAE,0,0.9856115107913669,0,0,0.014388489208633094
JOHNNAH,0.6129032258064516,0.3870967741935484,0,0,0
JOHNNATAN,0.12,0,0.88,0,0
JOHNNATHAN,0.2875536480686695,0.30042918454935624,0.3905579399141631,0.02145922746781116,0
JOHNNATHON,0,0.5925925925925926,0.25925925925925924,0,0.14814814814814814
JOHNNAY,0,1,0,0,0
JOHNNE,0.5496688741721855,0.41721854304635764,0.019867549668874173,0,0.013245033112582781
JOHNNEE,1,0,0,0,0
JOHNNEICE,0,1,0,0,0
JOHNNEISHA,0,1,0,0,0
JOHNNEKA,0,0.9615384615384616,0.038461538461538464,0,0
JOHNNEL,0,0.8627450980392157,0.0784313725490196,0.058823529411764705,0
JOHNNELL,0.037209302325581395,0.9255813953488372,0.004651162790697674,0,0.03255813953488372
JOHNNELLE,0.35714285714285715,0.6190476190476191,0,0,0.023809523809523808
JOHNNESE,0,0.8205128205128205,0,0,0.1794871794871795
JOHNNESHA,0,1,0,0,0
JOHNNESHIA,0,1,0,0,0
JOHNNESIA,0,1,0,0,0
JOHNNETHA,0,1,0,0,0
JOHNNETT,0.25,0.75,0,0,0
JOHNNETTA,0.021671826625386997,0.9674922600619195,0,0,0.010835913312693499
JOHNNETTE,0.4475806451612903,0.5403225806451613,0,0,0.012096774193548387
JOHNNEY,0.6023255813953489,0.37209302325581395,0.004651162790697674,0.020930232558139535,0
